_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
59,ARH0289,685 Lake Shore Blvd East,685 Lake Shore Blvd East,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,104,0,0,"{""type"": ""Point"", ""coordinates"": [-79.34299587, 43.65193824]}"
60,ARH0076,21 Windsor Street,21 Windsor St. ,Planning Applications Under Review,3,Etobicoke-Lakeshore,102,0,0,"{""type"": ""Point"", ""coordinates"": [-79.49603326, 43.62051055]}"
61,ARH0271,3377 Bayview Ave. (Tyndale Green) - Phase 1,3377 Bayview Ave,Planning Applications Under Review,17,Don Valley North,102,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39213505, 43.79694748]}"
62,ARH0333,"3850 and 3900 Sheppard Avenue East and 2350 to 2362 Kennedy Road (Phase 2, Blocks 1, 2 and/or 4)",3850 Sheppard Ave E,Approved OPAs and Zoning By-Law Amendments,22,Scarborough-Agincourt,101,0,0,"{""type"": ""Point"", ""coordinates"": [-79.29225268, 43.78393853]}"
63,ARH0049,1060 Eastern Ave (formerly 1555 - 1575 Queen Street East (Don Summerville)),1060 Eastern Ave (formerly 1555 Queen St E),Occupied,14,Toronto-Danforth,100,0,0,"{""type"": ""Point"", ""coordinates"": [-79.31869728, 43.66565391]}"
64,ARH0119,2700 Eglinton Avenue West,2700 Eglinton Ave W,Pre-Planning,5,York South-Weston,90,101,10,"{""type"": ""Point"", ""coordinates"": [-79.47841238, 43.68988424]}"
65,ARH0323,Alexandra Park Co-Op (Carr St./ 25 Eden Place),25 Eden Place ,Pre-Planning,10,Spadina-Fort York,100,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40339935, 43.64893674]}"
66,ARH0033,140 Merton Street,140 Merton St,Approved OPAs and Zoning By-Law Amendments,12,Toronto-St. Pauls,83,196,15,"{""type"": ""Point"", ""coordinates"": [-79.39170541, 43.69754214]}"
67,ARH0017,"1240, 1246, 1250 Weston Road",1240 Weston Rd,Pre-Planning,5,York South-Weston,97,0,0,"{""type"": ""Point"", ""coordinates"": [-79.49365825, 43.68917907]}"
68,ARH0263,309 Cherry Street,309 Cherry St.,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,97,0,0,"{""type"": ""Point"", ""coordinates"": [-79.3532824, 43.646925]}"
